,negativo,positivo,Total
africa,2,5,7
african,23,58,81
africanamerican,1,0,1
africanamericanhistorymonth,0,1,1
aft,1,1,2
afte,308,382,690
aftermath,1,1,2
afternoon,2,68,70
afternoons,0,2,2
afterward,1,0,1
ag,16,26,42
aga,0,2,2
agai,1,0,1
againeverybody,1,0,1
againso,1,0,1
againt,1,0,1
agata,0,2,2
age,6,19,25
agen,0,2,2
agencies,8,16,24
agency,3,10,13
agend,0,1,1
agenda,23,112,135
agendas,0,1,1
agent,16,28,44
agents,16,33,49
ages,1,2,3
aggr,0,1,1
aggravated,1,0,1
aggravation,0,1,1
aggression,1,0,1
aggressive,1,5,6
aggressively,0,1,1
aggresso,1,0,1
aggrieved,0,1,1
aghast,0,2,2
agitators,5,3,8
agnes,0,2,2
agnstt,0,1,1
ago,96,97,193
agony,4,0,4
agreatcause,0,1,1
agree,41,157,198
agreed,20,67,87
agreeing,3,5,8
agreemen,0,1,1
agreement,26,63,89
agreements,2,8,10
agreepray,0,1,1
agrees,4,18,22
agricultural,9,18,27
agriculture,1,13,14
agrmt,0,1,1
ags,1,1,2
agt,0,1,1
ah,0,2,2
ahca,0,1,1
ahead,37,72,109
ahhh,1,0,1
ahhhh,0,1,1
ahhhhhh,0,1,1
ahic,0,1,1
ahmad,0,1,1
ahmari,0,1,1
ahmed,0,2,2
ahmedabad,0,1,1
ahya,0,1,1
ai,28,84,112
aid,47,31,78
aide,1,4,5
aided,0,2,2
aides,2,6,8
aiding,0,1,1
aids,1,5,6
aig,1,0,1
aiingovsummit,0,1,1
ailes,5,2,7
ails,0,1,1
ailsa,0,6,6
aim,1,0,1
aimed,1,2,3
aiming,2,1,3
aims,0,1,1
ain,4,1,5
ainsley,0,1,1
aipac,0,1,1
airborne,0,1,1
airbridge,0,2,2
airbus,1,1,2
aircraft,1,6,7
aircrew,0,1,1
aircrews,0,1,1
aired,2,7,9
aires,0,1,1
airforce,0,1,1
airhes,1,0,1
airing,1,5,6
airline,2,2,4
airlines,2,10,12
airmax,0,1,1
airmen,1,0,1
airplane,2,2,4
airplanes,2,2,4
airpo,8,19,27
airports,2,8,10
airs,0,2,2
airspace,2,0,2
airtime,5,0,5
airwaves,2,2,4
aisle,1,0,1
ajit,0,1,1
ak,1,1,2
aka,0,2,2
akasaka,0,1,1
akba,1,0,1
akin,0,1,1
akmumpreneu,1,0,1
akoya,0,1,1
akron,0,2,2
al,21,41,62
ala,0,1,1
alabama,20,95,115
alabamatickets,0,1,1
alan,5,9,14
alarm,2,2,4
alarmed,3,1,4
alarming,0,2,2
alarms,1,0,1
alaska,3,16,19
alaskans,0,1,1
albaghdadi,1,0,1
albany,0,4,4
albe,1,3,4
albemarle,1,0,1
albence,0,1,1
albom,0,1,1
album,0,2,2
albuquerque,0,1,1
alcohol,1,0,1
alconv,0,2,2
alconvention,0,1,1
aldridge,1,0,1
ale,2,11,13
alec,3,0,3
alejandro,1,0,1
alene,0,2,2
alerted,2,0,2
alerting,1,0,1
alerts,0,1,1
alex,3,9,12
alexande,0,3,3
alexandria,2,2,4
alexis,0,2,2
alfonse,1,0,1
alfred,1,3,4
algae,1,0,1
algemeine,0,1,1
ali,3,1,4
alice,0,3,3
alicia,0,2,2
alien,4,5,9
alienating,1,0,1
aliens,21,24,45
aliensif,1,0,1
aligned,0,1,1
aligning,0,1,1
aligns,1,0,1
alike,2,5,7
alisa,0,1,1
alisareal,0,1,1
alisyn,0,1,1
alive,8,9,17
alivebig,0,1,1
allah,1,0,1
allaying,1,0,1
allbut,1,0,1
allegation,4,1,5
allegations,9,14,23
allege,0,1,1
alleged,7,9,16
allegedly,2,2,4
alleges,1,2,3
allegiance,0,5,5
alleging,2,1,3
allen,1,4,5
allentown,0,1,1
alleras,0,1,1
alleviate,1,0,1
alley,0,1,1
alliance,2,5,7
alliances,0,1,1
allianz,0,1,1
allied,0,3,3
allies,8,19,27
alligators,2,0,2
allis,1,2,3
alllllll,1,2,3
allocated,1,2,3
allocating,1,0,1
allow,84,25,109
allowe,1,0,1
allowed,124,52,176
allowing,23,18,41
allows,4,6,10
alltheway,0,1,1
alluding,0,1,1
allure,1,0,1
allwomanspacewalk,0,1,1
ally,3,6,9
allyn,0,4,4
almighty,0,1,1
almos,1,0,1
aloha,0,1,1
alongside,1,8,9
alot,0,2,2
aloud,1,0,1
alowed,1,0,1
alpha,0,2,2
alphabetical,0,1,1
alpolitics,1,0,1
alqaeda,0,2,2
alrededo,1,0,1
alright,0,2,2
als,1,0,1
alsen,1,0,1
altered,1,1,2
altering,0,2,2
alternate,0,2,2
alternative,8,8,16
alternatives,0,4,4
alters,0,1,1
altogethe,0,1,1
alum,0,1,1
aluminum,8,12,20
alvarez,1,0,1
alway,1,1,2
alzheime,1,0,1
amash,2,0,2
amateu,1,1,2
amateurs,0,1,1
amaz,0,1,1
amaze,0,1,1
amazed,2,3,5
amazes,1,0,1
amazing,28,311,339
amazingly,1,2,3
amazon,31,18,49
amazonwashingtonpost,1,1,2
amb,4,8,12
ambassado,18,40,58
ambassadors,7,4,11
ambien,1,0,1
ambiguous,0,2,2
ambition,0,1,1
ambitions,0,1,1
ambitious,1,1,2
ambridge,0,1,1
ambro,0,1,1
ambs,0,1,1
ambulance,1,0,1
ambush,0,1,1
ambushed,1,1,2
ame,4,14,18
amen,2,10,12
amend,0,1,1
amendmen,0,1,1
amendment,30,168,198
amendments,1,1,2
amer,1,2,3
amercan,0,1,1
amercia,0,4,4
amercian,0,1,1
ameri,1,6,7
americ,0,6,6
america,319,1457,1776
americafi,0,1,1
americafirst,13,101,114
americafirstvideo,0,1,1
american,247,837,1084
americanewsroom,0,1,1
americanheroes,0,1,1
americanism,1,0,1
americanow,0,1,1
americanpatientsfirst,0,2,2
americanpride,1,0,1
americans,132,291,423
americansamoa,0,1,1
americansand,0,1,1
americansat,1,0,1
americanunity,0,1,1
americanvalues,0,1,1
americapatriotsbadazzfollowersmaga,0,1,1
americas,1,15,16
americasmerkel,0,1,1
americastrong,0,2,2
americathe,0,1,1
americaworkstoge,0,1,1
ames,1,1,2
amherst,0,2,2
ami,1,4,5
amici,1,0,1
amid,3,2,5
amidst,0,1,1
amigos,0,1,1
amnesty,16,21,37
amodei,0,1,1
amounting,0,1,1
amounts,23,21,44
amp,1,1,2
amphibious,1,1,2
ample,0,1,1
amputee,0,1,1
amtrak,2,0,2
amuck,1,0,1
amusing,0,2,2
amustreadbook,0,1,1
amvets,0,2,2
amway,0,2,2
amy,2,5,7
amymek,1,0,1
ana,2,0,2
anaheim,0,4,4
analysis,3,11,14
analyst,3,9,12
analysts,1,3,4
analyze,0,2,2
analyzes,0,1,1
analyzing,0,2,2
anarchists,14,15,29
anarchy,3,7,10
ancho,6,7,13
anchored,1,0,1
anchorman,0,2,2
anchors,4,3,7
ancient,0,1,1
andeavo,0,1,1
anderson,2,5,7
andersonthank,0,1,1
andif,0,1,1
andrea,0,1,1
andreajmarkley,0,1,1
andres,0,4,4
andrew,35,45,80
andrews,0,5,5
andriy,0,1,1
android,129,511,640
andrs,0,1,1
andrzej,0,2,2
andy,8,17,25
anemic,2,1,3
ang,1,0,1
ange,12,17,29
angel,3,6,9
angela,1,9,10
angeles,5,7,12
angels,1,1,2
anger,1,0,1
angered,1,1,2
angering,1,0,1
angie,0,1,1
angrily,2,0,2
angry,94,43,137
anguilla,0,2,2
animal,5,6,11
animals,5,4,9
animus,1,1,2
ankara,0,1,1
ann,1,7,8
anna,1,3,4
annapolis,5,5,10
anne,0,1,1
annie,0,2,2
annihilating,0,1,1
anniv,0,1,1
anniversaries,0,1,1
anniversary,5,32,37
announ,0,1,1
announce,14,83,97
announced,47,97,144
announcedit,1,0,1
announcement,7,48,55
announcements,0,1,1
announcers,1,0,1
announces,4,19,23
announcing,2,26,28
annoyed,3,0,3
annual,0,25,25
annually,2,0,2
ano,1,0,1
anonymity,1,2,3
anonymous,15,10,25
anothe,149,243,392
anouncment,0,1,1
ans,1,0,1
answe,42,40,82
answered,5,3,8
answering,5,9,14
answers,12,18,30
ante,0,1,1
anthem,6,35,41
anthony,7,10,17
anthonyweine,1,0,1
anti,58,43,101
antibiotics,1,0,1
antibodies,1,1,2
antibody,0,1,1
anticipate,1,1,2
anticipated,9,21,30
antics,0,2,2
antidote,0,2,2
antiestablishment,0,1,1
antifa,12,8,20
antifastan,0,1,1
antigen,0,1,1
antimicrobial,0,1,1
antiquated,0,1,1
antiquities,0,1,1
antithesis,0,1,1
antitrust,2,0,2
antle,0,1,1
antnio,0,1,1
anton,0,2,2
antonin,1,0,1
antonio,1,4,5
antrump,0,1,1
anw,0,1,1
anxiety,1,1,2
anxious,2,1,3
anxiously,1,1,2
anybody,26,26,52
anyday,0,1,1
anymore,44,13,57
anyo,1,0,1
anyplace,1,0,1
anytime,3,8,11
anyw,0,1,1
anyways,1,0,1
aoc,11,7,18
aol,2,1,3
ap,3,12,15
apa,21,13,34
apaches,0,1,1
apartment,1,0,1
apec,2,7,9
apocalypse,0,1,1
apollo,0,1,1
apologetic,1,0,1
apologies,4,4,8
apologize,47,20,67
apologized,12,4,16
apologizes,2,4,6
apologizing,5,0,5
apology,15,13,28
apoplectic,2,1,3
app,2,6,8
appalachian,3,0,3
appalled,1,2,3
apparatus,1,3,4
apparel,0,2,2
apparent,3,1,4
apparently,8,2,10
appea,3,5,8
appeal,1,9,10
appealed,1,1,2
appeals,3,9,12
appearance,3,11,14
appeared,0,3,3
appearing,3,2,5
appears,8,2,10
appease,2,1,3
appeasement,1,0,1
appeasing,0,1,1
appellate,0,1,1
appetite,0,1,1
appetites,1,0,1
applaud,1,9,10
applauded,0,1,1
applauds,0,1,1
applause,1,2,3
apple,9,17,26
appleca,1,0,1
appleton,0,1,1
applicable,1,0,1
application,0,3,3
applications,4,1,5
applied,2,1,3
applies,0,2,2
apply,7,6,13
applying,2,0,2
appoin,0,2,2
appoint,1,4,5
appointed,16,14,30
appointee,2,1,3
appointees,1,0,1
appointing,2,1,3
appointment,4,9,13
appointments,3,3,6
appreciate,7,59,66
appreciated,2,20,22
appreciates,0,6,6
appreciation,4,6,10
appreciative,2,3,5
apprehend,4,3,7
apprehended,2,8,10
apprehending,3,3,6
apprehension,0,1,1
apprehensions,1,1,2
appren,0,1,1
apprenteince,0,1,1
apprentence,0,1,1
apprentice,27,116,143
apprenticenbc,0,3,3
apprenticeship,0,1,1
apprenticeships,0,1,1
apprise,1,0,1
approach,3,7,10
approache,1,0,1
approaches,0,3,3
approaching,3,1,4
appropriate,8,19,27
appropriated,1,0,1
appropriately,0,6,6
appropriations,0,1,1
appropriato,0,1,1
approv,0,1,1
approval,22,149,171
approvals,4,3,7
approve,9,27,36
approved,25,43,68
approves,1,5,6
approving,6,1,7
approx,0,4,4
approximately,2,9,11
apracecall,0,1,1
april,12,23,35
apropos,0,1,1
aptitude,2,0,2
aq,0,1,1
aqap,3,0,3
ar,1,0,1
arab,0,5,5
arabella,0,1,1
arabia,17,25,42
arabian,1,1,2
aramco,0,1,1
arbite,0,1,1
arbitrate,1,0,1
arbitration,0,1,1
archbishop,0,1,1
arche,0,1,1
arches,0,1,1
architect,1,2,3
architects,0,1,1
architectural,0,1,1
architecture,0,1,1
archive,1,0,1
archives,1,1,2
arctic,1,0,1
ardern,1,0,1
area,19,34,53
arealleade,0,1,1
areamore,0,1,1
areas,12,14,26
aren,21,18,39
arena,17,23,40
arent,4,0,4
areout,1,0,1
aretha,0,1,1
areuall,0,1,1
arg,0,1,1
argentina,7,16,23
argentine,0,1,1
argu,1,0,1
arguably,1,3,4
argue,0,2,2
argued,2,1,3
argues,1,1,2
arguing,2,1,3
argument,5,7,12
arguments,8,8,16
ari,0,2,2
arianna,1,0,1
arise,0,1,1
arizona,13,102,115
arizonans,1,2,3
arizonaprimary,0,2,2
arkansas,3,17,20
arlene,0,1,1
arlington,0,6,6
arm,4,2,6
armageddon,1,0,1
armed,5,21,26
armedforcesday,0,2,2
arming,1,0,1
armistice,0,1,1
arms,7,16,23
army,5,40,45
armybda,0,1,1
armybday,0,1,1
armynavygame,0,4,4
armys,0,1,1
arnold,4,5,9
arou,0,1,1
arouses,1,0,1
arpaio,1,2,3
arranged,1,2,3
arrangements,0,2,2
array,0,3,3
arre,0,1,1
arresed,0,1,1
arrest,4,5,9
arrested,13,13,26
arresting,1,0,1
arrests,5,5,10
arrington,2,1,3
arrival,1,2,3
arrive,1,8,9
arrived,18,47,65
arrives,1,5,6
arriving,2,9,11
arrogance,1,1,2
arrogant,3,2,5
arrow,0,1,1
arsenal,0,2,2
arson,0,1,1
arsonist,0,2,2
arsonists,1,1,2
arsss,0,1,1
arthu,1,3,4
article,12,28,40
articles,25,19,44
articulation,0,1,1
artie,0,1,1
artificial,0,3,3
artificially,1,0,1
artillery,0,1,1
artist,0,2,2
artistic,0,1,1
artistically,1,0,1
artists,0,1,1
artofthedeal,1,0,1
artofwa,0,1,1
arts,0,1,1
asa,0,3,3
asad,0,1,1
asanoyama,0,1,1
asap,9,17,26
ascendancy,0,1,1
asd,0,1,1
asean,0,1,1
aseansummit,0,2,2
asegrese,0,1,1
ashame,0,3,3
ashamed,16,8,24
ashes,0,1,1
asheville,0,1,1
ashley,0,3,3
ashraf,0,1,1
asi,0,1,1
asia,8,9,17
asian,6,4,10
asiancarp,0,1,1
asians,1,3,4
aside,1,5,6
ask,35,77,112
asked,64,86,150
asking,40,58,98
askkevin,0,2,2
asks,5,12,17
asksean,0,1,1
askthedonald,0,1,1
asktrump,0,14,14
asleep,3,0,3
asman,2,0,2
aspect,2,5,7
aspects,0,4,4
aspen,0,2,2
aspergers,0,1,1
aspirations,1,1,2
aspire,0,1,1
ass,4,23,27
assad,6,3,9
assailing,1,0,1
assange,1,2,3
assassinated,0,1,1
assassination,0,1,1
assault,12,16,28
assaulted,1,4,5
assaulting,1,1,2
assaults,3,1,4
asse,0,2,2
assecretary,1,0,1
asselrod,0,1,1
assembled,0,1,1
assembling,1,0,1
assembly,1,5,6
assemblyman,0,1,1
asserting,0,1,1
assertion,2,0,2
assertive,0,1,1
asses,0,1,1
assess,0,3,3
assesses,1,0,1
assessment,3,3,6
asset,3,5,8
assets,6,8,14
asshole,1,1,2
assignment,1,0,1
assist,2,16,18
assistance,8,15,23
assistant,0,4,4
assisting,0,1,1
assistive,0,1,1
assists,0,1,1
assoc,0,1,1
associat,0,1,1
associate,0,1,1
associated,8,7,15
associates,1,4,5
association,1,19,20
asst,1,0,1
assume,5,9,14
assumed,1,0,1
assuming,1,1,2
assumption,0,1,1
assumptions,0,1,1
assurance,1,0,1
assurances,0,1,1
assure,0,5,5
assured,1,6,7
ast,0,1,1
astonishing,3,2,5
astonishingly,1,0,1
astonishingthat,1,0,1
astoria,0,2,2
astounding,1,2,3
astronaut,0,1,1
astronauts,0,9,9
astros,0,1,1
astroturfers,0,1,1
asunde,0,1,1
asylum,12,14,26
asymptomatic,0,1,1
ate,3,0,3
atheist,0,1,1
athletes,0,4,4
athletic,0,3,3
atkins,0,1,1
atkinson,1,2,3
atl,0,1,1
atlanta,2,12,14
atlantic,9,6,15
atlas,1,0,1
atmosphere,0,1,1
atop,1,2,3
atrocious,3,1,4
atrocities,1,1,2
atrocity,1,1,2
att,2,1,3
attached,1,4,5
attack,96,68,164
attacke,1,0,1
attacked,16,7,23
attackers,0,1,1
attacking,13,11,24
attacks,25,24,49
attackscommon,1,0,1
attain,0,1,1
attained,1,0,1
attempt,14,16,30
attempted,9,10,19
attempting,1,3,4
attempts,3,5,8
attend,3,17,20
attendance,3,7,10
attended,2,5,7
attendees,1,1,2
attending,1,13,14
attends,0,2,2
attention,6,24,30
attest,0,1,1
attire,0,1,1
attitude,4,11,15
attkisson,0,1,1
attn,2,1,3
attorney,34,65,99
attorneys,4,5,9
attract,0,2,2
attracted,1,2,3
attracting,1,1,2
attribute,0,1,1
attributed,1,1,2
attributes,1,1,2
attributing,0,1,1
au,0,1,1
auburn,0,1,1
audacity,0,1,1
audience,8,18,26
audiences,0,1,1
audio,1,2,3
audit,4,2,6
audited,0,2,2
auditorium,0,3,3
audrey,0,1,1
aug,1,1,2
august,8,29,37
augusta,0,1,1
augustine,0,3,3
aura,1,0,1
aurora,1,0,1
aus,0,1,1
aussie,0,1,1
austin,1,8,9
australia,7,13,20
australian,0,1,1
australians,0,1,1
auten,0,1,1
authentic,0,1,1
autho,10,17,27
authorities,12,8,20
authority,8,20,28
authorization,6,6,12
authorize,0,3,3
authorized,5,16,21
authorizes,0,2,2
authors,0,1,1
authotized,0,1,1
autism,1,10,11
autismawarenessday,0,1,1
auto,12,15,27
autobiography,0,1,1
autograph,0,1,1
autographed,0,3,3
automakers,1,1,2
automatic,1,2,3
automatically,0,3,3
automobile,1,5,6
automobiles,1,1,2
automobils,0,1,1
automotive,1,0,1
autonomous,2,3,5
autoridades,0,1,1
autoworkers,0,3,3
autumn,0,1,1
ava,0,1,1
avail,3,1,4
available,12,27,39
ave,1,1,2
avenatti,0,2,2
avenge,0,1,1
avenue,0,7,7
average,16,20,36
averages,1,0,1
averted,0,1,1
aviation,3,3,6
aviators,0,1,1
aviv,1,1,2
avoid,8,10,18
avoided,3,2,5
avoiding,1,2,3
aw,2,0,2
awa,1,1,2
awada,0,1,1
await,2,2,4
awaited,1,4,5
awaiting,0,4,4
awaits,0,2,2
awake,1,1,2
awakened,0,1,1
awan,1,0,1
award,4,39,43
awarded,0,12,12
awarding,0,4,4
awards,2,10,12
aware,13,7,20
awareness,0,6,6
away,100,78,178
awe,0,1,1
awed,0,1,1
aweigh,0,1,1
awesome,4,72,76
awesomeness,0,1,1
awful,6,2,8
awkward,1,2,3
awol,2,1,3
ax,1,0,1
axe,0,1,1
axelrod,1,0,1
axios,1,1,2
aya,0,2,2
ayatollah,3,1,4
ayers,0,1,1
ayrshire,0,3,3
az,5,8,13
aza,0,6,6
azgop,0,1,1
azithromycin,0,3,3
azprimary,0,3,3
ba,5,8,13
baaaaaack,1,0,1
baaaack,1,0,1
babbling,0,1,1
babies,2,6,8
babin,0,1,1
baby,5,11,16
bach,0,1,1
bachelo,3,3,6
backbone,3,8,11
backdated,0,1,1
backdoo,1,0,1
backdrop,2,0,2
backed,12,4,16
backer,0,1,1
backers,1,0,1
backetball,0,1,1
backfire,0,4,4
backfired,0,4,4
backfires,1,2,3
backfiring,0,1,1
background,2,13,15
backgrounds,0,3,3
backing,3,3,6
backlash,1,4,5
backlog,1,1,2
backou,0,1,1
backs,6,9,15
backstage,0,2,2
backstop,0,1,1
backtracking,1,0,1
backup,0,3,3
backwards,5,1,6
bacon,2,1,3
bad,543,145,688
badawi,1,0,1
bade,2,0,2
badgering,2,0,2
badly,145,50,195
badmouths,1,0,1
baffles,1,0,1
baffling,1,0,1
bag,2,2,4
baghdad,1,4,5
baghdadi,2,7,9
bags,3,1,4
baham,1,0,1
bahama,1,2,3
bahamas,3,10,13
bahamian,0,2,2
bahrain,0,6,6
baie,1,3,4
bail,8,3,11
bailed,1,0,1
bailey,1,0,1
bailing,2,2,4
bailout,3,3,6
bailouts,2,0,2
bait,1,0,1
baited,0,1,1
baiting,1,1,2
baja,0,1,1
bak,1,3,4
bakari,1,0,1
bake,4,13,17
bakersfield,0,3,3
balance,2,6,8
balanced,7,4,11
balances,0,1,1
balancing,0,6,6
balcony,1,0,1
balderson,4,7,11
baldwin,4,0,4
balk,1,0,1
ball,3,13,16
ballabon,1,1,2
ballard,0,1,1
ballet,0,1,1
ballgame,1,1,2
ballistic,5,1,6
ballooned,1,0,1
ballot,16,20,36
ballots,18,21,39
ballpark,0,1,1
ballroom,2,2,4
ballrooms,0,1,1
balls,2,4,6
balticsummit,0,1,1
baltimore,26,14,40
baltimores,0,1,1
bam,0,1,1
bamafortrump,0,1,1
ban,27,23,50
band,2,4,6
bandaids,0,1,1
bandits,0,1,1
bandon,2,0,2
bands,0,2,2
bandwagon,1,0,1
bandwidth,1,0,1
bang,1,7,8
bangers,0,2,2
bangladesh,1,0,1
bango,0,3,3
bank,15,12,27
banke,1,1,2
bankers,1,1,2
banking,0,2,2
bankrolled,1,0,1
bankrupt,7,1,8
bankruptcies,0,1,1
bankruptcy,3,3,6
bankrupted,0,2,2
bankrupting,1,0,1
banks,15,13,28
bann,1,0,1
banne,0,6,6
banned,11,2,13
banning,5,3,8
banniste,0,1,1
bannon,2,5,7
banquet,0,1,1
baptist,0,5,5
bar,30,35,65
barack,4,31,35
barackobama,0,1,1
barbara,3,12,15
barbaric,0,1,1
barbaro,2,0,2
barbosa,1,0,1
barbours,0,1,1
barcelona,0,1,1
bare,0,1,1
bared,0,1,1
barely,14,11,25
barelytherebiden,1,0,1
bargain,1,1,2
bargaining,2,1,3
bari,0,1,1
barletta,5,5,10
barnes,0,1,1
barnini,0,1,1
baromete,0,1,1
barra,2,2,4
barrack,2,5,7
barracks,0,3,3
barrage,0,4,4
barrasso,0,1,1
barre,0,3,3
barred,0,1,1
barrel,2,0,2
barreling,1,0,1
barrels,1,2,3
barrett,0,1,1
barricaded,1,0,1
barrie,6,12,18
barriers,20,23,43
barrington,0,1,1
barron,1,2,3
barrs,1,2,3
barry,3,4,7
bars,1,2,3
bartenders,0,1,1
bartiromo,0,2,2
base,14,24,38
baseball,3,13,16
based,74,78,152
basel,0,1,1
baseless,1,2,3
baselessness,0,2,2
basement,7,3,10
basementdwellers,0,1,1
bases,4,8,12
bash,4,2,6
basha,2,1,3
bashaud,0,1,1
