source;text;created_at;retweet_count;favorite_count;is_retweet;id_str;;;
Twitter for iPhone;Great, Just Out! 51% Approval Rating in Rasmussen Poll. 95% in Republican Party. Stock Market up BIG today. Will I ever be given credit for the Markets and Economy? Next year will be BIG!;09-14-2020 14:21:47;29828;140648;false;1305512070683619328
Twitter for iPhone;Do you notice that any time Fake News Suppression Polls are put out, like @FoxNews, the Stock Market goes DOWN. We are going to WIN!;09-03-2020 15:21:41;22801;104433;false;1301540878381703168
Twitter for iPhone;Just In: Chinese State Media and Leaders of CHINA want Biden to win “the U.S. Election”.  If this happened (which it won’t), China would own our Country, and our Record Setting Stock Markets would literally CRASH!;08-26-2020 15:05:08;53011;211703;false;1298637609871212545
Twitter for iPhone;Joe Biden has said he would lock down the Country again. That’s crazy! We’re having record job growth and a booming stock market, but Joe would end it all and close it all down. Ridiculous!;08-24-2020 22:49:50;47596;237358;false;1298029780437270530
Twitter for iPhone;Big Stock Market Numbers!;08-11-2020 12:34:14;31242;212782;false;1293163818282094594
Twitter for iPhone;Sleepy Joe Biden just agreed with the Radical Left Democrats to raise Taxes by Three Trillion Dollars. Everyone will pay - Will kill your Stocks, 401k’s, and the ECONOMY. BIG CRASH!  #MAGA;08-08-2020 19:28:59;45000;164774;false;1292181029541879812
Twitter for iPhone;RECORD HIGH NASDAQ! It would all come crashing down, including your Jobs, Stocks, and 401k’s, if Sleepy Joe ever became President. China and others would own us!!!;08-03-2020 13:49:25;34680;152249;false;1290283634130214913
Twitter for iPhone;RT @MarketWatch: Pharma stocks finish lower as Trump targets drug prices with executive orders https://t.co/s9imYC0dLq;07-25-2020 04:21:51;5979;0;true;1286879311463579648
Twitter for iPhone;Strong Stock Market Numbers. You want to see them dive? Vote for the Radical Left with their BIG Tax Hikes!;07-21-2020 11:33:05;30471;148254;false;1285538283892748288
Twitter for iPhone;The Lamestream Media is not talking about what is happening with the Stock Market and JOBS. Both are doing GREAT! The Radical Left will destroy the USA. Be careful what you wish for!;07-13-2020 13:57:06;35244;152248;false;1282675421541289985
